Module                  Size  Used by
overlay               249856  0
uinput                 24576  0
snd_seq_dummy          12288  0
snd_hrtimer            12288  1
nf_conntrack_netbios_ns    12288  1
nf_conntrack_broadcast    12288  1 nf_conntrack_netbios_ns
nft_fib_inet           12288  1
nft_fib_ipv4           12288  1 nft_fib_inet
nft_fib_ipv6           12288  1 nft_fib_inet
nft_fib                12288  3 nft_fib_ipv6,nft_fib_ipv4,nft_fib_inet
nft_reject_inet        12288  10
nf_reject_ipv4         12288  1 nft_reject_inet
nf_reject_ipv6         20480  1 nft_reject_inet
nft_reject             12288  1 nft_reject_inet
nft_ct                 28672  8
nft_chain_nat          12288  3
nf_nat                 69632  1 nft_chain_nat
nf_conntrack          204800  4 nf_nat,nft_ct,nf_conntrack_netbios_ns,nf_conntrack_broadcast
nf_defrag_ipv6         24576  1 nf_conntrack
nf_defrag_ipv4         12288  1 nf_conntrack
ip_set                 69632  0
nf_tables             425984  298 nft_ct,nft_reject_inet,nft_fib_ipv6,nft_fib_ipv4,nft_chain_nat,nft_reject,nft_fib,nft_fib_inet
qrtr                   57344  2
sunrpc                921600  1
binfmt_misc            28672  1
vfat                   24576  1
fat                   122880  1 vfat
snd_sof_pci_intel_tgl    16384  0
snd_sof_pci_intel_cnl    20480  1 snd_sof_pci_intel_tgl
snd_sof_intel_hda_generic    45056  2 snd_sof_pci_intel_tgl,snd_sof_pci_intel_cnl
soundwire_intel        94208  1 snd_sof_intel_hda_generic
soundwire_cadence      53248  1 soundwire_intel
snd_sof_intel_hda_common   217088  3 snd_sof_intel_hda_generic,snd_sof_pci_intel_tgl,snd_sof_pci_intel_cnl
snd_soc_hdac_hda       32768  1 snd_sof_intel_hda_common
snd_sof_intel_hda_mlink    36864  3 soundwire_intel,snd_sof_intel_hda_common,snd_sof_intel_hda_generic
snd_sof_intel_hda      20480  2 snd_sof_intel_hda_common,snd_sof_intel_hda_generic
snd_sof_pci            24576  3 snd_sof_intel_hda_generic,snd_sof_pci_intel_tgl,snd_sof_pci_intel_cnl
snd_sof_xtensa_dsp     16384  1 snd_sof_intel_hda_generic
snd_sof               503808  5 snd_sof_pci,snd_sof_intel_hda_common,snd_sof_intel_hda_generic,snd_sof_intel_hda,snd_sof_pci_intel_cnl
snd_hda_codec_hdmi    106496  1
snd_sof_utils          16384  1 snd_sof
snd_soc_acpi_intel_match   131072  3 snd_sof_intel_hda_generic,snd_sof_pci_intel_tgl,snd_sof_pci_intel_cnl
snd_soc_acpi_intel_sdca_quirks    12288  1 snd_soc_acpi_intel_match
soundwire_generic_allocation    24576  1 soundwire_intel
snd_soc_acpi           16384  2 snd_soc_acpi_intel_match,snd_sof_intel_hda_generic
soundwire_bus         159744  3 soundwire_intel,soundwire_generic_allocation,soundwire_cadence
rtl8188ee             180224  0
snd_soc_sdca           12288  2 snd_soc_acpi_intel_sdca_quirks,soundwire_bus
rtl_pci                45056  1 rtl8188ee
snd_soc_avs           253952  0
snd_hda_codec_realtek   225280  1
rtlwifi               143360  2 rtl_pci,rtl8188ee
snd_hda_codec_generic   135168  1 snd_hda_codec_realtek
snd_soc_hda_codec      28672  1 snd_soc_avs
snd_hda_ext_core       36864  6 snd_soc_avs,snd_soc_hda_codec,snd_sof_intel_hda_common,snd_soc_hdac_hda,snd_sof_intel_hda_mlink,snd_sof_intel_hda
snd_hda_scodec_component    20480  1 snd_hda_codec_realtek
snd_soc_core          503808  6 snd_soc_avs,snd_soc_hda_codec,soundwire_intel,snd_sof,snd_sof_intel_hda_common,snd_soc_hdac_hda
intel_rapl_msr         20480  0
mac80211             1880064  3 rtl_pci,rtl8188ee,rtlwifi
intel_rapl_common      61440  1 intel_rapl_msr
intel_uncore_frequency    16384  0
intel_uncore_frequency_common    16384  1 intel_uncore_frequency
snd_compress           28672  2 snd_soc_avs,snd_soc_core
ac97_bus               12288  1 snd_soc_core
snd_pcm_dmaengine      16384  1 snd_soc_core
x86_pkg_temp_thermal    20480  0
intel_powerclamp       24576  0
snd_hda_intel          73728  2
coretemp               24576  0
snd_intel_dspcfg       45056  5 snd_soc_avs,snd_hda_intel,snd_sof,snd_sof_intel_hda_common,snd_sof_intel_hda_generic
snd_intel_sdw_acpi     16384  2 snd_intel_dspcfg,snd_sof_intel_hda_generic
snd_hda_codec         233472  8 snd_hda_codec_generic,snd_soc_avs,snd_hda_codec_hdmi,snd_soc_hda_codec,snd_hda_intel,snd_hda_codec_realtek,snd_soc_hdac_hda,snd_sof_intel_hda
kvm_intel             458752  0
snd_hda_core          159744  11 snd_hda_codec_generic,snd_soc_avs,snd_hda_codec_hdmi,snd_soc_hda_codec,snd_hda_intel,snd_hda_ext_core,snd_hda_codec,snd_hda_codec_realtek,snd_sof_intel_hda_common,snd_soc_hdac_hda,snd_sof_intel_hda
snd_hwdep              20480  1 snd_hda_codec
snd_seq               135168  7 snd_seq_dummy
snd_seq_device         16384  1 snd_seq
libarc4                12288  1 mac80211
kvm                  1482752  1 kvm_intel
spi_nor               180224  0
snd_pcm               200704  13 snd_soc_avs,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec,soundwire_intel,snd_sof,snd_sof_intel_hda_common,snd_compress,snd_sof_intel_hda_generic,snd_soc_core,snd_sof_utils,snd_hda_core,snd_pcm_dmaengine
cfg80211             1495040  2 rtlwifi,mac80211
mei_pxp                20480  0
mei_hdcp               28672  0
iTCO_wdt               16384  0
intel_pmc_bxt          16384  1 iTCO_wdt
mtd                   110592  2 spi_nor
iTCO_vendor_support    12288  1 iTCO_wdt
ee1004                 16384  0
snd_timer              57344  3 snd_seq,snd_hrtimer,snd_pcm
joydev                 36864  0
snd                   167936  19 snd_hda_codec_generic,snd_seq,snd_seq_device,snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_hda_codec,snd_hda_codec_realtek,snd_sof,snd_timer,snd_compress,snd_soc_core,snd_pcm
r8169                 139264  0
irqbypass              12288  1 kvm
intel_cstate           20480  0
intel_uncore          278528  0
rfkill                 40960  6 rtlwifi,cfg80211
realtek                53248  1
mei_me                 61440  2
i2c_i801               40960  0
pcspkr                 12288  0
gigabyte_wmi           12288  0
intel_wmi_thunderbolt    16384  0
wmi_bmof               12288  0
soundcore              16384  1 snd
spi_intel_pci          12288  0
mei                   208896  5 mei_hdcp,mei_pxp,mei_me
intel_pmc_core        131072  0
spi_intel              36864  1 spi_intel_pci
i2c_smbus              20480  1 i2c_i801
pmt_telemetry          16384  1 intel_pmc_core
pmt_class              16384  1 pmt_telemetry
acpi_tad               20480  0
acpi_pad              184320  0
loop                   45056  0
nfnetlink              24576  4 nf_tables,ip_set
zram                   69632  1
lz4hc_compress         20480  1 zram
lz4_compress           24576  1 zram
xe                   3833856  0
drm_ttm_helper         16384  1 xe
intel_vsec             20480  2 intel_pmc_core,xe
gpu_sched              65536  1 xe
drm_suballoc_helper    16384  1 xe
drm_gpuvm              45056  1 xe
drm_exec               12288  2 drm_gpuvm,xe
i915                 5230592  63
i2c_algo_bit           20480  2 xe,i915
drm_buddy              28672  2 xe,i915
ttm                   122880  3 drm_ttm_helper,xe,i915
drm_display_helper    311296  2 xe,i915
polyval_clmulni        12288  0
polyval_generic        12288  1 polyval_clmulni
ghash_clmulni_intel    16384  0
sha512_ssse3           53248  0
sha256_ssse3           36864  0
sha1_ssse3             32768  0
cec                    98304  3 drm_display_helper,xe,i915
video                  81920  2 xe,i915
wmi                    32768  4 video,intel_wmi_thunderbolt,gigabyte_wmi,wmi_bmof
pinctrl_tigerlake      28672  0
fuse                  286720  5
